@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
213,52,79,3,134,0.021898,0.396947,0.945455,0.396947,0.054545,0.55914,0.205224,1.934212,0.965745
214,51,80,3,134,0.021898,0.389313,0.944444,0.389313,0.055556,0.551351,0.201493,1.932146,0.968184
215,50,81,3,134,0.021898,0.381679,0.943396,0.381679,0.056604,0.543478,0.197761,1.930001,0.96972
216,49,82,3,134,0.021898,0.374046,0.942308,0.374046,0.057692,0.535519,0.19403,1.927775,0.97142
217,48,83,3,134,0.021898,0.366412,0.941176,0.366412,0.058824,0.527473,0.190299,1.92546,0.97303
218,47,84,3,134,0.021898,0.358779,0.94,0.358779,0.06,0.519337,0.186567,1.923053,0.9736
219,46,85,3,134,0.021898,0.351145,0.938776,0.351145,0.061224,0.511111,0.182836,1.920548,0.975187
220,45,86,3,134,0.021898,0.343511,0.9375,0.343511,0.0625,0.502793,0.179104,1.917939,0.975214
221,45,86,2,135,0.014599,0.343511,0.957447,0.343511,0.042553,0.505618,0.175373,1.958746,0.975828
222,44,87,2,135,0.014599,0.335878,0.956522,0.335878,0.043478,0.497175,0.171642,1.956854,0.976904
223,43,88,2,135,0.014599,0.328244,0.955556,0.328244,0.044444,0.488636,0.16791,1.954877,0.979826
224,43,88,1,136,0.007299,0.328244,0.977273,0.328244,0.022727,0.491429,0.164179,1.999306,0.981088
225,42,89,1,136,0.007299,0.320611,0.976744,0.320611,0.023256,0.482759,0.160448,1.998225,0.981141
226,41,90,1,136,0.007299,0.312977,0.97619,0.312977,0.02381,0.473988,0.156716,1.997092,0.981333
227,40,91,1,136,0.007299,0.305344,0.97561,0.305344,0.02439,0.465116,0.152985,1.995904,0.984405
228,39,92,1,136,0.007299,0.29771,0.975,0.29771,0.025,0.45614,0.149254,1.994656,0.985515
229,38,93,1,136,0.007299,0.290076,0.974359,0.290076,0.025641,0.447059,0.145522,1.993345,0.985897
230,37,94,1,136,0.007299,0.282443,0.973684,0.282443,0.026316,0.43787,0.141791,1.991965,0.986378
231,37,94,0,137,0,0.282443,1,0.282443,0,0.440476,0.13806,2.045802,0.988849
232,36,95,0,137,0,0.274809,1,0.274809,0,0.431138,0.134328,2.045802,0.989284
233,35,96,0,137,0,0.267176,1,0.267176,0,0.421687,0.130597,2.045802,0.989389
234,34,97,0,137,0,0.259542,1,0.259542,0,0.412121,0.126866,2.045802,0.989708
235,33,98,0,137,0,0.251908,1,0.251908,0,0.402439,0.123134,2.045802,0.989768
236,32,99,0,137,0,0.244275,1,0.244275,0,0.392638,0.119403,2.045802,0.989926
237,31,100,0,137,0,0.236641,1,0.236641,0,0.382716,0.115672,2.045802,0.99018
238,30,101,0,137,0,0.229008,1,0.229008,0,0.372671,0.11194,2.045802,0.990326
239,29,102,0,137,0,0.221374,1,0.221374,0,0.3625,0.108209,2.045802,0.991953
240,28,103,0,137,0,0.21374,1,0.21374,0,0.352201,0.104478,2.045802,0.992021
241,27,104,0,137,0,0.206107,1,0.206107,0,0.341772,0.100746,2.045802,0.99304
242,26,105,0,137,0,0.198473,1,0.198473,0,0.33121,0.097015,2.045802,0.993093
243,25,106,0,137,0,0.19084,1,0.19084,0,0.320513,0.093284,2.045802,0.99321
244,24,107,0,137,0,0.183206,1,0.183206,0,0.309677,0.089552,2.045802,0.993695
245,23,108,0,137,0,0.175573,1,0.175573,0,0.298701,0.085821,2.045802,0.994859
