@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
100,131,14,51,86,0.372263,0.903448,0.71978,0.903448,0.28022,0.801223,0.64539,1.399848,0.305356
101,131,14,50,87,0.364964,0.903448,0.723757,0.903448,0.276243,0.803681,0.641844,1.407582,0.321585
102,130,15,50,87,0.364964,0.896552,0.722222,0.896552,0.277778,0.8,0.638298,1.404598,0.338478
103,130,15,49,88,0.357664,0.896552,0.726257,0.896552,0.273743,0.802469,0.634752,1.412445,0.341215
104,130,15,48,89,0.350365,0.896552,0.730337,0.896552,0.269663,0.804954,0.631206,1.42038,0.342861
105,130,15,47,90,0.343066,0.896552,0.734463,0.896552,0.265537,0.807453,0.62766,1.428404,0.349229
106,130,15,46,91,0.335766,0.896552,0.738636,0.896552,0.261364,0.809969,0.624113,1.43652,0.357223
107,129,16,46,91,0.335766,0.889655,0.737143,0.889655,0.262857,0.80625,0.620567,1.433616,0.360183
108,129,16,45,92,0.328467,0.889655,0.741379,0.889655,0.258621,0.808777,0.617021,1.441855,0.36468
109,129,16,44,93,0.321168,0.889655,0.745665,0.889655,0.254335,0.811321,0.613475,1.450189,0.36507
110,129,16,43,94,0.313869,0.889655,0.75,0.889655,0.25,0.81388,0.609929,1.458621,0.370031
111,129,16,42,95,0.306569,0.889655,0.754386,0.889655,0.245614,0.816456,0.606383,1.467151,0.387842
112,129,16,41,96,0.29927,0.889655,0.758824,0.889655,0.241176,0.819048,0.602837,1.475781,0.390667
113,128,17,41,96,0.29927,0.882759,0.757396,0.882759,0.242604,0.815287,0.599291,1.473006,0.394205
114,127,18,41,96,0.29927,0.875862,0.755952,0.875862,0.244048,0.811502,0.595745,1.470197,0.40209
115,126,19,41,96,0.29927,0.868966,0.754491,0.868966,0.245509,0.807692,0.592199,1.467355,0.402422
116,125,20,41,96,0.29927,0.862069,0.753012,0.862069,0.246988,0.803859,0.588652,1.464479,0.42366
117,125,20,40,97,0.291971,0.862069,0.757576,0.862069,0.242424,0.806452,0.585106,1.473354,0.424394
118,125,20,39,98,0.284672,0.862069,0.762195,0.862069,0.237805,0.809061,0.58156,1.482338,0.427995
119,124,21,39,98,0.284672,0.855172,0.760736,0.855172,0.239264,0.805195,0.578014,1.479501,0.428536
120,123,22,39,98,0.284672,0.848276,0.759259,0.848276,0.240741,0.801303,0.574468,1.476628,0.430536
121,123,22,38,99,0.277372,0.848276,0.763975,0.848276,0.236025,0.803922,0.570922,1.4858,0.439232
122,123,22,37,100,0.270073,0.848276,0.76875,0.848276,0.23125,0.806557,0.567376,1.495086,0.447893
123,123,22,36,101,0.262774,0.848276,0.773585,0.848276,0.226415,0.809211,0.56383,1.504489,0.451042
124,122,23,36,101,0.262774,0.841379,0.772152,0.841379,0.227848,0.805281,0.560284,1.501702,0.458468
125,122,23,35,102,0.255474,0.841379,0.77707,0.841379,0.22293,0.807947,0.556738,1.511267,0.463109
126,121,24,35,102,0.255474,0.834483,0.775641,0.834483,0.224359,0.803987,0.553191,1.508488,0.465041
127,121,24,34,103,0.248175,0.834483,0.780645,0.834483,0.219355,0.806667,0.549645,1.51822,0.468545
